203.69,1215.5,1.6649,4.8057,1.9039,1.1897
156.31,575.11,3.6223,3.6,1.6074,1.333
126.81,1087.4,13.867,1.8213,1.1174,1.7699
107.52,519.5,13.846,3.095,1.0174,1.6223
410.5,1337.7,0.94149,4.8085,1.8273,1.2571
197.16,334.82,6.516,1.8695,1.6656,1.0379
424.96,642.62,5.3032,4.3631,1.3167,1.6479
456.45,1204.6,8.133,2.4738,1.1124,1.9699
409.93,1165.9,4.4415,4.7092,1.6195,1.8918
329.65,1167.9,0.058511,4.4142,1.3046,1.455
119.72,917.66,10.229,3.5404,1.823,1.4762
273.19,1127.2,7.2074,3.7021,1.5046,1.1351
403.4,615.82,1.5585,3.2823,1.0351,1.2762
327.66,1375.4,14.42,1.861,1.2585,1.3252
119.15,677.38,13.814,4.2383,1.7528,1.8798
469.22,647.59,3.2074,3.8837,1.6273,1.5046
205.67,1333.7,14.941,4.6355,1.9316,1.3606
149.5,562.2,10.729,4.122,1.7486,1.8507
198.58,927.59,4.9309,4.2865,1.9216,1.1684
289.93,1343.6,2.367,2.3149,1.423,1.1245
285.96,706.17,12.186,3.8979,1.0004,1.045
165.96,283.19,11.718,1.5858,1.2621,1.2621
385.82,1017.9,2.0372,1.878,1.7309,1.7755
172.48,1079.5,14.516,4.9617,1.8961,1.0649
248.79,713.12,3.4628,4.8454,1.3876,1.9259
212.48,665.46,2.8883,4.505,1.8805,1.1323
321.42,888.87,2.4309,1.5291,1.1791,1.3096
321.7,1080.5,1.0585,3.9291,1.8528,1.9323
335.89,762.77,12.41,2.1475,1.9074,1.6117
118.3,297.09,7.4415,4.0539,1.6564,1.1074
282.27,631.7,3.984,1.6028,1.1188,1.1819
318.3,676.38,4.0585,4.0965,1.6181,1.5188
347.52,870,8.1862,3.3277,1.3557,1.5833
251.35,1249.3,8.8351,4.9362,1.3699,1.2748
267.23,570.14,4.3245,1.6199,1.3181,1.3862
272.91,894.82,9.2819,2.3262,1.7344,1.3301
463.83,1174.8,0.83511,3.9546,1.0528,1.0543
162.84,805.46,5.5691,2.5901,1.3734,1.8989
104.11,705.18,0.65426,4.7433,1.6337,1.5195
197.73,1035.8,1.0691,4.6298,1.533,1.2067
246.52,887.87,6.4415,1.8894,1.377,1.072
400.57,528.44,10.771,2.6355,1.1387,1.1046
105.25,564.18,11.218,3.6624,1.7564,1.3117
272.62,1440.9,10.697,4.7887,1.5372,1.4174
420.14,758.79,12.25,3.3475,1.8443,1.5394
154.33,1150,10.888,2.8709,1.3202,1.633
189.5,781.63,6.6543,2.4567,1.9926,1.5202
358.87,792.55,2.75,4.2468,1.3989,1.4032
140.43,506.6,10.484,3.2766,1.3996,1.7216
193.48,1491.6,12.005,4.0567,1.6684,1.4741
459.29,1141.1,1.1543,2.2411,1.4798,1.5486
451.06,547.3,10.378,4.5674,1.7819,1.3167
201.42,1282.1,12.92,4.5589,1.155,1.8053
377.59,427.16,6.0904,4.4511,1.3252,1.8479
446.52,838.23,12.229,1.9035,1.1592,1.0805
238.01,1026.9,6.0053,2.3688,1.7507,1.8869
368.23,516.52,9.0904,2.9106,1.7904,1.0202
402.55,729.01,12.495,2.7064,1.5408,1.1663
155.74,521.49,6.3989,1.7872,1.5961,1.25
312.91,755.82,7.633,4.7348,1.3089,1.2436
379.57,1319.8,0.16489,2.0227,1.9833,1.2011
174.47,481.77,13.431,3.078,1.2323,1.55
100.43,703.19,1.9947,2.8851,1.6911,1.8578
198.3,555.25,7.1862,3.9461,1.6266,1.6365
442.55,979.22,2.25,3.5348,1.8833,1.5443
201.99,353.69,5.8245,4.4397,1.6039,1.9706
225.82,372.55,0.84574,2.3291,1.3975,1.3911
264.96,458.94,4.984,2.4142,1.2046,1.8394
142.41,262.34,8.3777,4.3773,1.8415,1.2606
440,662.48,9.6862,4.1589,1.8316,1.7004
316.31,1284,12.941,2.695,1.9025,1.4635
280,610.85,6.6117,4.2355,1.045,1.3074
311.49,1489.6,8.4202,3.478,1.3457,1.4117
379.01,592.98,6.6862,3.9376,1.2507,1.3216
120.28,863.05,7.9628,1.8071,1.2514,1.3933
270.35,535.39,5.75,3.3674,1.9975,1.7316
112.91,777.66,9.1436,3.0553,1.8535,1.7415
437.16,848.16,8.1649,4.9872,1.9479,1.272
128.51,1336.7,3.3351,2.1986,1.9642,1.4848
163.4,1131.1,10.963,2.5277,1.445,1.4628
154.89,330.85,13.42,3.3504,1.1777,1.6507
